,participant,distance_setting,number_of_objects,target_present,response_yes,yes_no_correct,target_pos_x,response_where_x,target_pos_y,response_where_y,hit,false_alarm,distance,angle,distance_delta
8209,DB,high,4,True,0.0,0.0,8.392771085124592,,0.4311386684012128,,0,0,8.403837637573336,0.05132512482486063,
8210,DB,high,4,True,1.0,1.0,-2.7098671610952936,-2.660320486807346,-10.505620144206752,-11.770803494700662,1,0,10.849490063829975,-1.8232380970199993,1.2661531436994466
8211,DB,high,4,False,0.0,1.0,,,,,0,0,,,
8212,DB,high,4,False,0.0,1.0,,,,,0,0,,,
8213,DB,high,4,False,0.0,1.0,,,,,0,0,,,
8214,DB,high,4,False,0.0,1.0,,,,,0,0,,,
8215,DB,high,4,False,0.0,1.0,,,,,0,0,,,
8216,DB,high,4,True,1.0,1.0,7.898688849221272,8.397100977911457,8.410368017275614,7.980961460422039,1,0,11.537919037799885,0.8167618029635112,0.6578788954620173
8217,DB,high,4,True,1.0,1.0,-6.4472079226664345,-6.197506385467393,0.988219368632064,0.5350365224863937,1,0,6.5225046967121765,2.989497748433403,0.5174220228404032
8218,DB,high,4,False,0.0,1.0,,,,,0,0,,,
8219,DB,high,4,True,1.0,1.0,-12.552010923013716,-11.934286876571504,-2.2651877074779208,-2.125283964320953,1,0,12.754765915592678,-2.963050189455637,0.6333688142798568
8220,DB,high,4,True,1.0,1.0,-1.4304667201433383,-5.73678049110411,-6.131607557881499,-10.671006198478628,1,0,6.296256529185192,-1.7999908748119327,6.257034306460325
8221,DB,high,4,False,0.0,1.0,,,,,0,0,,,
8222,DB,high,4,True,1.0,1.0,0.4208230755077952,0.1634833818708425,-6.1877045400920725,-6.643370154206055,1,0,6.201998027761367,-1.5028913296571036,0.5233114462793963
8223,DB,high,4,True,1.0,1.0,-7.85240444560023,-6.940612666698495,-0.6757674589954096,-1.0849351705974093,1,0,7.881428629120445,-3.0557455003943974,0.9993910467331634
